
Host: Mac-mini.local

Timers On : Tue Nov 18 11:46:08 2025
Timers Off: Tue Nov 18 11:48:02 2025

Wall Time:      113.92 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
SAPT(DFT):Dimer SCF                 :      6.117u      0.300s      4.086w      1 calls
Libint2ERI::Libint2ERI              :      1.767u      0.033s      1.108w     26 calls
JK: (A|mn)                          :      2.600u      0.117s      1.643w      5 calls
JK: (A|Q)^-1/2                      :      0.500u      0.000s      0.296w      3 calls
JK: (Q|mn)                          :      6.050u      0.033s      3.690w      5 calls
HF: Form core H                     :      0.050u      0.000s      0.029w      5 calls
HF: Form S/X                        :      0.250u      0.000s      0.152w      5 calls
HF: Guess                           :      0.333u      0.050s      0.234w      5 calls
SAD Guess                           :      0.333u      0.050s      0.232w      5 calls
HF: Form G                          :     43.800u      1.050s     26.868w     49 calls
JK: D                               :      0.017u      0.000s      0.007w     90 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     90 calls
JK: JK                              :     32.833u      1.967s     20.800w     90 calls
JK: J                               :      2.083u      0.100s      1.265w    127 calls
JK: J1                              :      1.017u      0.100s      0.624w    145 calls
JK: J2                              :      1.050u      0.000s      0.623w    145 calls
JK: K                               :     30.683u      0.050s     18.411w    127 calls
JK: K1                              :     28.217u      0.033s     16.940w    223 calls
JK: K2                              :      2.467u      0.000s      1.468w    145 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     90 calls
HF: Form F                          :      0.000u      0.000s      0.002w     49 calls
HF: Form D                          :      0.000u      0.000s      0.003w     49 calls
HF: DIIS                            :      0.683u      0.117s      0.618w     44 calls
HF: Form C                          :      2.150u      0.000s      1.300w     44 calls
SAPT(DFT):Monomer A SCF             :      5.250u      0.200s      3.301w      1 calls
SAPT(DFT):Monomer B SCF             :      5.267u      0.150s      3.269w      1 calls
SAPT(HF):elst                       :      0.000u      0.000s      0.000w      1 calls
SAPT(HF):exch                       :      1.233u      0.017s      0.746w      1 calls
